State,County,D,G,L,N,O,R
19,19195,1498,NA,NA,2212,8,2059
19,19197,2026,NA,NA,2919,29,3659
20,20001,1573,NA,57,2618,NA,3963
20,20003,1258,NA,46,1898,NA,2122
20,20005,3222,NA,51,3857,NA,3697
20,20007,478,NA,12,445,NA,2014
20,20009,2937,NA,94,4599,NA,9407
20,20011,2861,NA,67,3685,NA,4686
20,20013,1050,NA,30,1435,NA,3347
20,20015,7013,NA,277,11949,NA,19974
20,20017,282,NA,12,347,NA,1161
20,20019,279,NA,12,406,NA,1559
20,20021,4894,NA,124,5513,NA,6009
20,20023,222,NA,8,246,NA,1381
20,20025,246,NA,8,269,NA,938
20,20027,596,NA,40,1231,NA,3745
20,20029,1035,NA,34,1420,NA,3449
20,20031,945,NA,44,1424,NA,3536
20,20033,169,NA,3,140,NA,805
20,20035,4663,NA,127,5488,NA,8908
20,20037,7871,NA,170,8159,NA,7412
20,20039,303,NA,11,394,NA,1333
20,20041,1920,NA,87,3433,NA,7271
20,20043,791,NA,25,1180,NA,2860
20,20045,26151,NA,851,28070,NA,21643
20,20047,317,NA,7,352,NA,1212
20,20049,375,NA,5,303,NA,1116
20,20051,4306,NA,158,4990,NA,8061
20,20053,1115,NA,28,1031,NA,2517
20,20055,3462,NA,110,6074,NA,7729
20,20057,3414,NA,120,5323,NA,6353
20,20059,3567,NA,131,5006,NA,8625
20,20061,4035,NA,86,4681,NA,5171
20,20063,298,NA,1,306,NA,1214
20,20065,230,NA,10,256,NA,1260
20,20067,478,NA,24,729,NA,2106
20,20069,468,NA,26,704,NA,1689
20,20071,72,NA,2,118,NA,733
20,20073,577,NA,13,1789,NA,2343
20,20075,153,NA,5,225,NA,859
20,20077,707,NA,22,970,NA,2382
20,20079,4089,NA,120,5982,NA,10540
20,20081,276,NA,6,583,NA,1488
20,20083,196,NA,1,219,NA,969
20,20085,1819,NA,39,2338,NA,3967
20,20087,2810,NA,87,4214,NA,5752
20,20089,260,NA,10,450,NA,1413
20,20091,82863,NA,3348,113116,NA,171116
20,20093,278,NA,6,491,NA,1288
20,20095,914,NA,27,1486,NA,2991
20,20097,184,NA,2,215,NA,1129
20,20099,3950,NA,126,6103,NA,5705
20,20101,123,NA,7,130,NA,890
20,20103,12371,NA,373,16460,NA,17789
20,20105,247,NA,20,457,NA,1406
20,20107,1348,NA,55,2000,NA,3704
20,20109,210,NA,6,275,NA,1283
20,20111,4470,NA,148,6438,NA,7474
20,20115,1179,NA,38,1790,NA,4712
20,20117,1518,NA,21,1646,NA,3224
20,20113,2514,NA,122,3801,NA,9450
20,20119,380,NA,18,658,NA,2116
20,20121,4255,NA,159,6321,NA,9990
20,20123,651,NA,9,904,NA,2581
20,20125,4360,NA,129,4347,NA,9797
20,20127,722,NA,27,925,NA,2059
20,20129,278,NA,12,311,NA,1329
20,20131,1571,NA,28,1795,NA,3693
20,20133,2324,NA,99,3698,NA,5084
20,20135,315,NA,6,342,NA,1308
20,20137,425,NA,13,713,NA,2078
20,20139,2201,NA,78,3081,NA,5029
20,20141,490,NA,10,642,NA,1583
20,20143,508,NA,32,1054,NA,2670
20,20145,768,NA,20,932,NA,2219
20,20147,363,NA,14,613,NA,2579
20,20149,1839,NA,92,3191,NA,7882
20,20151,969,NA,38,1169,NA,3443
20,20153,239,NA,10,363,NA,1474
20,20155,9271,NA,315,12517,NA,18470
20,20157,516,NA,16,675,NA,2499
20,20159,1016,NA,50,1516,NA,3274
20,20161,6655,NA,305,9854,NA,13344
20,20163,379,NA,7,597,NA,2348
20,20165,378,NA,7,393,NA,1335
20,20167,693,NA,23,766,NA,2796
20,20169,6368,NA,300,11359,NA,15422
20,20171,289,NA,10,652,NA,2201
20,20173,64057,NA,2155,95157,NA,109432
20,20175,1984,NA,88,3164,NA,4801
20,20177,32677,NA,803,31764,NA,40706
20,20179,301,NA,5,361,NA,1069
20,20181,545,NA,24,868,NA,2358
20,20183,423,NA,3,450,NA,1973
20,20185,385,NA,19,497,NA,1709
20,20187,203,NA,18,217,NA,793
20,20189,303,NA,17,378,NA,2121
20,20191,3392,NA,128,5003,NA,7446
