CID,STATE,COUNTY,PBUSH,PGORE,PNADER,POTHER,BUSH,GORE,NADER,BUCHANAN,BROWNE,PHILLIPS,WRITEINS,HAGELIN,MCREYNOLDS,HARRIS,DODGE,NOTA,MOOREHEAD,BROWN,VENSON,YOUNGKEIT,LANE
1653,Montana,Rosebud,.5335,.4072,.0380,.0213,1826,1394,130,46,16,6,.,5,.,.,.,.,.,.,.,.,.
1654,Montana,Sanders,.6660,.2468,.0646,.0227,3144,1165,305,63,27,12,.,5,.,.,.,.,.,.,.,.,.
1655,Montana,Sheridan,.5985,.3573,.0316,.0127,1176,702,62,17,5,1,.,2,.,.,.,.,.,.,.,.,.
1656,Montana,Silver Bow,.3771,.5368,.0524,.0336,6299,8967,876,443,54,34,.,30,.,.,.,.,.,.,.,.,.
1657,Montana,Stillwater,.7057,.2361,.0360,.0222,2765,925,141,58,19,4,.,6,.,.,.,.,.,.,.,.,.
1658,Montana,Sweet Grass,.7855,.1652,.0320,.0173,1450,305,59,22,6,4,.,.,.,.,.,.,.,.,.,.,.
1659,Montana,Teton,.6922,.2556,.0308,.0214,2294,847,102,44,13,4,.,10,.,.,.,.,.,.,.,.,.
1660,Montana,Toole,.6892,.2649,.0324,.0135,1639,630,77,24,8,.,.,.,.,.,.,.,.,.,.,.,.
1661,Montana,Treasure,.7182,.2213,.0251,.0355,344,106,12,9,5,2,.,1,.,.,.,.,.,.,.,.,.
1662,Montana,Valley,.6308,.3212,.0260,.0220,2500,1273,103,67,10,7,.,3,.,.,.,.,.,.,.,.,.
1663,Montana,Wheatland,.7087,.2432,.0210,.0270,708,243,21,19,1,6,.,1,.,.,.,.,.,.,.,.,.
1664,Montana,Wibaux,.7124,.2336,.0309,.0232,369,121,16,7,2,3,.,.,.,.,.,.,.,.,.,.,.
1665,Montana,Yellowstone,.5900,.3543,.0373,.0185,33922,20370,2145,728,171,76,.,87,.,.,.,.,.,.,.,.,.
1666,Nebraska,Adams,.6562,.2963,.0379,.0095,8162,3686,472,64,31,15,.,8,.,.,.,.,.,.,.,.,.
1667,Nebraska,Antelope,.7607,.2013,.0249,.0131,2562,678,84,31,7,1,.,5,.,.,.,.,.,.,.,.,.
1668,Nebraska,Arthur,.8640,.0956,.0221,.0184,235,26,6,4,1,.,.,.,.,.,.,.,.,.,.,.,.
1669,Nebraska,Banner,.8442,.1407,.0043,.0108,390,65,2,4,1,.,.,.,.,.,.,.,.,.,.,.,.
1670,Nebraska,Blaine,.8567,.1232,.0143,.0057,299,43,5,1,1,.,.,.,.,.,.,.,.,.,.,.,.
1671,Nebraska,Boone,.7673,.2009,.0227,.0091,2196,575,65,22,4,.,.,.,.,.,.,.,.,.,.,.,.
1672,Nebraska,Box Butte,.6304,.3172,.0399,.0126,3208,1614,203,40,12,7,.,5,.,.,.,.,.,.,.,.,.
1673,Nebraska,Boyd,.7496,.2134,.0201,.0169,931,265,25,10,3,3,.,5,.,.,.,.,.,.,.,.,.
1674,Nebraska,Brown,.8165,.1485,.0214,.0137,1375,250,36,14,4,1,.,4,.,.,.,.,.,.,.,.,.
1675,Nebraska,Buffalo,.7248,.2386,.0293,.0073,11931,3927,483,65,42,1,.,12,.,.,.,.,.,.,.,.,.
1676,Nebraska,Burt,.6061,.3606,.0215,.0118,2056,1223,73,22,12,5,.,1,.,.,.,.,.,.,.,.,.
1677,Nebraska,Butler,.6891,.2685,.0282,.0141,2638,1028,108,34,11,5,.,4,.,.,.,.,.,.,.,.,.
1678,Nebraska,Cass,.5977,.3556,.0359,.0108,6144,3656,369,55,41,6,.,9,.,.,.,.,.,.,.,.,.
1679,Nebraska,Cedar,.7002,.2488,.0328,.0183,2989,1062,140,62,10,5,.,1,.,.,.,.,.,.,.,.,.
1680,Nebraska,Chase,.8027,.1632,.0203,.0139,1505,306,38,15,8,2,.,1,.,.,.,.,.,.,.,.,.
1681,Nebraska,Cherry,.8156,.1567,.0176,.0102,2322,446,50,20,4,4,.,1,.,.,.,.,.,.,.,.,.
1682,Nebraska,Cheyenne,.7661,.2016,.0182,.0141,3207,844,76,36,16,4,.,3,.,.,.,.,.,.,.,.,.
1683,Nebraska,Clay,.7235,.2407,.0267,.0090,2326,774,86,17,3,8,.,1,.,.,.,.,.,.,.,.,.
1684,Nebraska,Colfax,.7053,.2603,.0217,.0127,2338,863,72,29,6,4,.,3,.,.,.,.,.,.,.,.,.
1685,Nebraska,Cuming,.7668,.2033,.0216,.0083,3232,857,91,24,4,5,.,2,.,.,.,.,.,.,.,.,.
1686,Nebraska,Custer,.7841,.1803,.0259,.0098,4245,976,140,32,11,8,.,2,.,.,.,.,.,.,.,.,.
1687,Nebraska,Dakota,.5146,.4446,.0233,.0175,3119,2695,141,87,9,10,.,.,.,.,.,.,.,.,.,.,.
1688,Nebraska,Dawes,.7039,.2273,.0585,.0102,2549,823,212,22,12,.,.,3,.,.,.,.,.,.,.,.,.
1689,Nebraska,Dawson,.7341,.2318,.0190,.0151,5511,1740,143,84,22,3,.,4,.,.,.,.,.,.,.,.,.
1690,Nebraska,Deuel,.7580,.2062,.0261,.0097,783,213,27,6,4,.,.,.,.,.,.,.,.,.,.,.,.
1691,Nebraska,Dixon,.6569,.2937,.0215,.0279,1834,820,60,65,9,4,.,.,.,.,.,.,.,.,.,.,.
1692,Nebraska,Dodge,.6130,.3469,.0306,.0095,8871,5021,443,58,63,10,.,6,.,.,.,.,.,.,.,.,.
1693,Nebraska,Douglas,.5516,.4005,.0388,.0091,101025,73347,7109,690,749,126,.,110,.,.,.,.,.,.,.,.,.
1694,Nebraska,Dundy,.7923,.1771,.0188,.0119,801,179,19,6,3,2,.,1,.,.,.,.,.,.,.,.,.
1695,Nebraska,Fillmore,.6751,.2829,.0344,.0077,2024,848,103,14,8,1,.,.,.,.,.,.,.,.,.,.,.
1696,Nebraska,Franklin,.7170,.2518,.0216,.0096,1196,420,36,9,2,.,.,5,.,.,.,.,.,.,.,.,.
1697,Nebraska,Frontier,.7911,.1752,.0194,.0144,1102,244,27,10,6,2,.,2,.,.,.,.,.,.,.,.,.
1698,Nebraska,Furnas,.7606,.2197,.0119,.0078,1849,534,29,12,6,.,.,1,.,.,.,.,.,.,.,.,.
1699,Nebraska,Gage,.5826,.3699,.0373,.0102,5538,3516,355,57,33,4,.,3,.,.,.,.,.,.,.,.,.
1700,Nebraska,Garden,.7900,.1665,.0312,.0123,963,203,38,8,4,1,.,2,.,.,.,.,.,.,.,.,.
1701,Nebraska,Garfield,.7456,.2098,.0343,.0104,718,202,33,9,.,1,.,.,.,.,.,.,.,.,.,.,.
1702,Nebraska,Gosper,.7465,.2249,.0187,.0099,757,228,19,9,.,.,.,1,.,.,.,.,.,.,.,.,.
1703,Nebraska,Grant,.8416,.1273,.0260,.0052,324,49,10,2,.,.,.,.,.,.,.,.,.,.,.,.,.
1704,Nebraska,Greeley,.6405,.3176,.0282,.0137,839,416,37,13,4,1,.,.,.,.,.,.,.,.,.,.,.
1705,Nebraska,Hall,.6364,.3209,.0321,.0106,11803,5952,595,116,52,12,.,16,.,.,.,.,.,.,.,.,.
1706,Nebraska,Hamilton,.7239,.2374,.0314,.0073,3251,1066,141,21,10,2,.,.,.,.,.,.,.,.,.,.,.
1707,Nebraska,Harlan,.7333,.2365,.0200,.0103,1358,438,37,11,7,1,.,.,.,.,.,.,.,.,.,.,.
1708,Nebraska,Hayes,.8511,.1156,.0140,.0193,486,66,8,8,3,.,.,.,.,.,.,.,.,.,.,.,.
1709,Nebraska,Hitchcock,.7608,.2108,.0142,.0142,1126,312,21,14,3,3,.,1,.,.,.,.,.,.,.,.,.
1710,Nebraska,Holt,.7973,.1706,.0188,.0133,3954,846,93,48,5,9,.,4,.,.,.,.,.,.,.,.,.
1711,Nebraska,Hooker,.7751,.1809,.0318,.0122,317,74,13,4,1,.,.,.,.,.,.,.,.,.,.,.,.
1712,Nebraska,Howard,.6226,.3378,.0251,.0145,1760,955,71,21,13,2,.,5,.,.,.,.,.,.,.,.,.
1713,Nebraska,Jefferson,.6111,.3538,.0265,.0086,2351,1361,102,15,16,2,.,.,.,.,.,.,.,.,.,.,.
1714,Nebraska,Johnson,.5729,.3759,.0350,.0161,1210,794,74,11,11,5,.,7,.,.,.,.,.,.,.,.,.
1715,Nebraska,Kearney,.7473,.2178,.0240,.0109,2333,680,75,17,12,2,.,3,.,.,.,.,.,.,.,.,.
1716,Nebraska,Keith,.7672,.2021,.0195,.0112,2953,778,75,30,11,.,.,2,.,.,.,.,.,.,.,.,.
1717,Nebraska,Keya Paha,.8226,.1520,.0117,.0136,422,78,6,6,1,.,.,.,.,.,.,.,.,.,.,.,.
1718,Nebraska,Kimball,.7577,.2082,.0225,.0115,1379,379,41,11,5,3,.,2,.,.,.,.,.,.,.,.,.
1719,Nebraska,Knox,.6998,.2607,.0277,.0118,2784,1037,110,36,5,3,.,3,.,.,.,.,.,.,.,.,.
1720,Nebraska,Lancaster,.5182,.4168,.0577,.0073,55514,44650,6182,297,360,49,.,80,.,.,.,.,.,.,.,.,.
1721,Nebraska,Lincoln,.6100,.3444,.0332,.0124,9220,5205,502,126,41,12,.,8,.,.,.,.,.,.,.,.,.
1722,Nebraska,Logan,.8155,.1456,.0267,.0121,336,60,11,4,.,1,.,.,.,.,.,.,.,.,.,.,.
1723,Nebraska,Loup,.7513,.2222,.0185,.0079,284,84,7,3,.,.,.,.,.,.,.,.,.,.,.,.,.
1724,Nebraska,McPherson,.8106,.1595,.0033,.0266,244,48,1,4,4,.,.,.,.,.,.,.,.,.,.,.,.
1725,Nebraska,Madison,.7497,.2157,.0226,.0121,9636,2772,290,108,28,8,.,11,.,.,.,.,.,.,.,.,.
1726,Nebraska,Merrick,.7126,.2539,.0251,.0084,2380,848,84,22,3,2,.,1,.,.,.,.,.,.,.,.,.
1727,Nebraska,Morrill,.7470,.2152,.0215,.0164,1597,460,46,26,6,3,.,.,.,.,.,.,.,.,.,.,.
1728,Nebraska,Nance,.6637,.2985,.0276,.0102,1105,497,46,11,3,1,.,2,.,.,.,.,.,.,.,.,.
1729,Nebraska,Nemaha,.6462,.3155,.0279,.0104,2177,1063,94,18,10,3,.,4,.,.,.,.,.,.,.,.,.
1730,Nebraska,Nuckolls,.6963,.2636,.0270,.0131,1701,644,66,21,8,2,.,1,.,.,.,.,.,.,.,.,.
1731,Nebraska,Otoe,.6271,.3314,.0327,.0087,4178,2208,218,35,13,3,.,7,.,.,.,.,.,.,.,.,.
1732,Nebraska,Pawnee,.6169,.3436,.0250,.0145,937,522,38,11,8,3,.,.,.,.,.,.,.,.,.,.,.
1733,Nebraska,Perkins,.8058,.1674,.0213,.0055,1170,243,31,4,4,.,.,.,.,.,.,.,.,.,.,.,.
1734,Nebraska,Phelps,.7726,.2019,.0186,.0069,3575,934,86,14,15,1,.,2,.,.,.,.,.,.,.,.,.
1735,Nebraska,Pierce,.7899,.1777,.0162,.0162,2534,570,52,43,4,2,.,3,.,.,.,.,.,.,.,.,.
1736,Nebraska,Platte,.7669,.2031,.0207,.0093,9861,2612,266,66,38,9,.,7,.,.,.,.,.,.,.,.,.
1737,Nebraska,Polk,.7367,.2334,.0199,.0100,1925,610,52,15,8,1,.,2,.,.,.,.,.,.,.,.,.
1738,Nebraska,Red Willow,.7323,.2364,.0205,.0107,3680,1188,103,33,15,2,.,4,.,.,.,.,.,.,.,.,.
1739,Nebraska,Richardson,.6320,.3330,.0200,.0149,2623,1382,83,33,16,6,.,7,.,.,.,.,.,.,.,.,.
1740,Nebraska,Rock,.8110,.1577,.0190,.0123,725,141,17,9,1,.,.,1,.,.,.,.,.,.,.,.,.
1741,Nebraska,Saline,.5017,.4511,.0363,.0109,2581,2321,187,35,15,2,.,4,.,.,.,.,.,.,.,.,.
1742,Nebraska,Sarpy,.6400,.3233,.0289,.0078,28979,14637,1308,140,165,19,.,30,.,.,.,.,.,.,.,.,.
1743,Nebraska,Saunders,.6377,.3198,.0311,.0114,5688,2852,277,68,24,5,.,5,.,.,.,.,.,.,.,.,.
1744,Nebraska,Scotts Bluff,.6790,.2845,.0289,.0076,9397,3937,400,62,29,8,.,6,.,.,.,.,.,.,.,.,.
1745,Nebraska,Seward,.6353,.3207,.0349,.0091,4457,2250,245,36,14,6,.,8,.,.,.,.,.,.,.,.,.
1746,Nebraska,Sheridan,.8172,.1522,.0210,.0097,2105,392,54,18,5,1,.,1,.,.,.,.,.,.,.,.,.
1747,Nebraska,Sherman,.6287,.3308,.0282,.0123,1072,564,48,9,7,.,.,5,.,.,.,.,.,.,.,.,.
1748,Nebraska,Sioux,.8364,.1303,.0239,.0093,629,98,18,4,.,1,.,2,.,.,.,.,.,.,.,.,.
1749,Nebraska,Stanton,.7623,.2011,.0213,.0153,1895,500,53,21,8,3,.,6,.,.,.,.,.,.,.,.,.
1750,Nebraska,Thayer,.6973,.2731,.0216,.0080,2096,821,65,13,5,2,.,4,.,.,.,.,.,.,.,.,.
1751,Nebraska,Thomas,.8329,.1392,.0228,.0051,329,55,9,2,.,.,.,.,.,.,.,.,.,.,.,.,.
1752,Nebraska,Thurston,.4995,.4438,.0269,.0298,1040,924,56,51,5,3,.,3,.,.,.,.,.,.,.,.,.
1753,Nebraska,Valley,.7114,.2576,.0199,.0110,1610,583,45,18,4,2,.,1,.,.,.,.,.,.,.,.,.
1754,Nebraska,Washington,.6675,.2956,.0271,.0097,5758,2550,234,30,41,5,.,8,.,.,.,.,.,.,.,.,.
1755,Nebraska,Wayne,.7041,.2541,.0302,.0117,2774,1001,119,33,6,3,.,4,.,.,.,.,.,.,.,.,.
1756,Nebraska,Webster,.6694,.3003,.0247,.0057,1302,584,48,9,1,1,.,.,.,.,.,.,.,.,.,.,.
1757,Nebraska,Wheeler,.7748,.1876,.0243,.0132,351,85,11,4,2,.,.,.,.,.,.,.,.,.,.,.,.
1758,Nebraska,York,.7455,.2178,.0249,.0118,4816,1407,161,59,8,6,.,3,.,.,.,.,.,.,.,.,.
1759,Nevada,Carson City,.5698,.3781,.0311,.0210,11084,7354,605,135,101,24,.,12,.,.,.,Candidates,.,.,.,.,.
1760,Nevada,Churchill,.7069,.2483,.0214,.0233,6237,2191,189,75,33,16,.,3,.,.,.,137,.,.,.,.,.
1761,Nevada,Clark,.4472,.5131,.0208,.0189,170932,196100,7942,3045,1962,353,.,252,.,.,.,79,.,.,.,.,.
1762,Nevada,Douglas,.6227,.3247,.0330,.0195,11193,5837,593,121,83,25,.,20,.,.,.,1612,.,.,.,.,.
1763,Nevada,Elko,.7775,.1793,.0156,.0276,11025,2542,221,100,139,25,.,10,.,.,.,102,.,.,.,.,.
1764,Nevada,Esmeralda,.6782,.2363,.0285,.0570,333,116,14,10,11,.,.,1,.,.,.,118,.,.,.,.,.
1765,Nevada,Eureka,.7551,.1792,.0179,.0478,632,150,15,11,15,2,.,1,.,.,.,6,.,.,.,.,.
1766,Nevada,Humboldt,.7233,.2243,.0272,.0252,3638,1128,137,40,30,5,.,1,.,.,.,11,.,.,.,.,.
1767,Nevada,Lander,.7640,.1864,.0175,.0321,1619,395,37,26,12,2,.,2,.,.,.,51,.,.,.,.,.
1768,Nevada,Lincoln,.7014,.2357,.0204,.0424,1372,461,40,26,16,11,.,4,.,.,.,26,.,.,.,.,.
1769,Nevada,Lyon,.6062,.3298,.0319,.0321,7270,3955,382,144,79,34,.,24,.,.,.,26,.,.,.,.,.
1770,Nevada,Mineral,.5351,.3995,.0353,.0301,1227,916,81,25,13,5,.,3,.,.,.,104,.,.,.,.,.
1771,Nevada,Nye,.5668,.3715,.0273,.0345,6904,4525,332,214,96,19,.,9,.,.,.,23,.,.,.,.,.
1772,Nevada,Pershing,.6776,.2642,.0255,.0327,1221,476,46,21,7,1,.,2,.,.,.,82,.,.,.,.,.
1773,Nevada,Storey,.5640,.3704,.0439,.0217,1014,666,79,11,12,2,.,4,.,.,.,28,.,.,.,.,.
1774,Nevada,Washoe,.5204,.4260,.0344,.0193,63640,52097,4209,688,690,86,.,65,.,.,.,10,.,.,.,.,.
1775,Nevada,White Pine,.6305,.3017,.0243,.0435,2234,1069,86,55,12,11,.,2,.,.,.,826,.,.,.,.,.
1776,New Hampshire,Belknap,.5523,.4000,.0365,.0112,14799,10719,977,124,88,14,74,.,.,.,.,.,.,.,.,.,.
1777,New Hampshire,Carroll,.5275,.4126,.0455,.0144,12597,9852,1086,119,131,17,77,.,.,.,.,.,.,.,.,.,.
1778,New Hampshire,Cheshire,.4130,.5205,.0524,.0141,13793,17382,1750,186,152,45,87,.,.,.,.,.,.,.,.,.,.
1779,New Hampshire,Coos,.5020,.4500,.0317,.0163,7329,6570,463,133,69,11,25,.,.,.,.,.,.,.,.,.,.
1780,New Hampshire,Grafton,.4671,.4731,.0460,.0137,18092,18326,1783,210,209,32,81,.,.,.,.,.,.,.,.,.,.
1781,New Hampshire,Hillsborough,.4865,.4683,.0330,.0122,80649,77625,5465,755,811,62,394,.,.,.,.,.,.,.,.,.,.
1782,New Hampshire,Merrimack,.4715,.4808,.0368,.0109,30028,30622,2343,230,286,32,143,.,.,.,.,.,.,.,.,.,.
1783,New Hampshire,Rockingham,.4909,.4593,.0389,.0110,65860,61628,5213,534,626,55,257,.,.,.,.,.,.,.,.,.,.
1784,New Hampshire,Strafford,.4273,.5142,.0460,.0124,21108,25400,2273,210,286,36,80,.,.,.,.,.,.,.,.,.,.
1785,New Hampshire,Sullivan,.4984,.4405,.0453,.0158,9304,8224,845,114,99,24,58,.,.,.,.,.,.,.,.,.,.
1786,New Jersey,Atlantic,.3907,.5804,.0240,.0048,35593,52880,2188,171,158,20,.,39,36,17,.,.,.,.,.,.,.
1787,New Jersey,Bergen,.4165,.5527,.0264,.0044,152731,202682,9688,755,434,148,.,176,40,67,.,.,.,.,.,.,.
1788,New Jersey,Burlington,.4070,.5605,.0276,.0050,72254,99506,4894,278,463,64,.,62,13,7,.,.,.,.,.,.,.
1789,New Jersey,Camden,.3173,.6460,.0311,.0056,62464,127166,6124,353,550,48,.,103,31,22,.,.,.,.,.,.,.
1790,New Jersey,Cape May,.4999,.4662,.0271,.0067,23794,22189,1291,187,82,12,.,22,5,12,.,.,.,.,.,.,.
1791,New Jersey,Cumberland,.3878,.5790,.0206,.0125,18882,28188,1004,111,130,25,.,52,18,274,.,.,.,.,.,.,.
1792,New Jersey,Essex,.2575,.7147,.0217,.0061,66842,185505,5641,391,286,155,.,87,611,55,.,.,.,.,.,.,.
1793,New Jersey,Gloucester,.3944,.5694,.0298,.0064,42315,61095,3196,236,320,25,.,70,31,10,.,.,.,.,.,.,.
1794,New Jersey,Hudson,.2617,.7063,.0265,.0055,43804,118206,4436,274,253,179,.,94,36,79,.,.,.,.,.,.,.
1795,New Jersey,Hunterdon,.5705,.3788,.0436,.0071,32210,21387,2459,154,181,9,.,48,4,3,.,.,.,.,.,.,.
1796,New Jersey,Mercer,.3443,.6142,.0336,.0079,46670,83256,4561,274,581,63,.,101,28,25,.,.,.,.,.,.,.
1797,New Jersey,Middlesex,.3614,.5988,.0345,.0053,93545,154998,8934,622,449,39,.,112,114,36,.,.,.,.,.,.,.
1798,New Jersey,Monmouth,.4551,.5015,.0346,.0088,119291,131476,9059,678,488,282,.,144,670,53,.,.,.,.,.,.,.
1799,New Jersey,Morris,.5378,.4263,.0307,.0052,111066,88039,6333,473,448,23,.,88,20,18,.,.,.,.,.,.,.
1800,New Jersey,Ocean,.4884,.4718,.0340,.0058,105684,102104,7354,604,387,64,.,102,18,76,.,.,.,.,.,.,.
1801,New Jersey,Passaic,.3899,.5769,.0240,.0093,61043,90324,3752,402,199,103,.,656,52,42,.,.,.,.,.,.,.
1802,New Jersey,Salem,.4544,.5086,.0265,.0105,12257,13718,714,75,109,20,.,26,46,7,.,.,.,.,.,.,.
1803,New Jersey,Somerset,.4961,.4671,.0314,.0053,59725,56232,3776,231,306,43,.,49,10,5,.,.,.,.,.,.,.
1804,New Jersey,Sussex,.5788,.3714,.0417,.0080,33277,21353,2399,184,151,21,.,88,10,7,.,.,.,.,.,.,.
1805,New Jersey,Union,.3678,.6010,.0265,.0047,68554,112003,4945,387,252,48,.,79,81,24,.,.,.,.,.,.,.
1806,New Jersey,Warren,.5434,.4055,.0443,.0069,22172,16543,1806,149,85,18,.,17,6,5,.,.,.,.,.,.,.
1807,New Mexico,Bernalillo,.4662,.4868,.0405,.0065,95249,99461,8274,397,713,106,.,119,.,.,.,.,.,.,.,.,.
1808,New Mexico,Catron,.7440,.2063,.0333,.0164,1273,353,57,11,14,3,.,.,.,.,.,.,.,.,.,.,.
1809,New Mexico,Chaves,.6269,.3493,.0169,.0068,11378,6340,307,51,56,9,.,8,.,.,.,.,.,.,.,.,.
1810,New Mexico,Cibola,.3883,.5823,.0231,.0063,2752,4127,164,29,8,5,.,3,.,.,.,.,.,.,.,.,.
1811,New Mexico,Colfax,.4761,.4858,.0298,.0082,2600,2653,163,20,20,2,.,3,.,.,.,.,.,.,.,.,.
1812,New Mexico,Curry,.6935,.2900,.0123,.0042,8301,3471,147,23,19,4,.,4,.,.,.,.,.,.,.,.,.
1813,New Mexico,De Baca,.6232,.3554,.0122,.0092,612,349,12,7,.,2,.,.,.,.,.,.,.,.,.,.,.
1814,New Mexico,Dona Ana,.4558,.5126,.0248,.0069,21263,23912,1158,117,155,21,.,27,.,.,.,.,.,.,.,.,.
1815,New Mexico,Eddy,.5810,.3996,.0144,.0049,10335,7108,256,37,36,8,.,7,.,.,.,.,.,.,.,.,.
1816,New Mexico,Grant,.4413,.5047,.0471,.0068,4961,5673,530,32,32,7,.,6,.,.,.,.,.,.,.,.,.
1817,New Mexico,Guadalupe,.3319,.6517,.0145,.0018,548,1076,24,2,1,.,.,.,.,.,.,.,.,.,.,.,.
1818,New Mexico,Harding,.6172,.3609,.0152,.0067,366,214,9,3,.,1,.,.,.,.,.,.,.,.,.,.,.
1819,New Mexico,Hidalgo,.5202,.4575,.0153,.0071,954,839,28,5,6,1,.,1,.,.,.,.,.,.,.,.,.
1820,New Mexico,Lea,.7125,.2704,.0119,.0053,10157,3855,169,37,22,10,.,6,.,.,.,.,.,.,.,.,.
1821,New Mexico,Lincoln,.6583,.2993,.0248,.0176,4458,2027,168,22,82,7,.,8,.,.,.,.,.,.,.,.,.
1822,New Mexico,Los Alamos,.5503,.4060,.0322,.0115,5623,4149,329,8,88,12,.,9,.,.,.,.,.,.,.,.,.
1823,New Mexico,Luna,.5135,.4499,.0281,.0085,3395,2975,186,29,20,6,.,1,.,.,.,.,.,.,.,.,.
1824,New Mexico,McKinley,.3193,.6475,.0247,.0086,5070,10281,392,46,55,15,.,20,.,.,.,.,.,.,.,.,.
1825,New Mexico,Mora,.3049,.6645,.0224,.0082,668,1456,49,6,8,2,.,2,.,.,.,.,.,.,.,.,.
1826,New Mexico,Otero,.6331,.3373,.0209,.0088,10258,5465,338,53,64,16,.,10,.,.,.,.,.,.,.,.,.
1827,New Mexico,Quay,.5963,.3827,.0133,.0078,2292,1471,51,17,8,1,.,4,.,.,.,.,.,.,.,.,.
1828,New Mexico,Rio Arriba,.2889,.6753,.0312,.0046,3495,8169,377,20,23,6,.,7,.,.,.,.,.,.,.,.,.
1829,New Mexico,Roosevelt,.6657,.3118,.0173,.0051,3762,1762,98,10,15,2,.,2,.,.,.,.,.,.,.,.,.
1830,New Mexico,Sandoval,.4857,.4692,.0381,.0070,15423,14899,1211,76,115,11,.,20,.,.,.,.,.,.,.,.,.
1831,New Mexico,San Juan,.6185,.3457,.0266,.0092,21434,11980,923,117,154,27,.,22,.,.,.,.,.,.,.,.,.
1832,New Mexico,San Miguel,.2418,.7139,.0376,.0068,2215,6540,344,16,27,8,.,11,.,.,.,.,.,.,.,.,.
1833,New Mexico,Santa Fe,.2825,.6472,.0650,.0054,13974,32017,3215,65,147,16,.,37,.,.,.,.,.,.,.,.,.
1834,New Mexico,Sierra,.5933,.3683,.0288,.0096,2721,1689,132,19,18,4,.,3,.,.,.,.,.,.,.,.,.
1835,New Mexico,Socorro,.4648,.4826,.0409,.0117,3173,3294,279,23,53,2,.,2,.,.,.,.,.,.,.,.,.
1836,New Mexico,Taos,.2519,.6461,.0977,.0044,2744,7039,1064,12,29,3,.,4,.,.,.,.,.,.,.,.,.
1837,New Mexico,Torrance,.5829,.3766,.0329,.0077,2891,1868,163,20,8,8,.,2,.,.,.,.,.,.,.,.,.
1838,New Mexico,Union,.7231,.2575,.0108,.0085,1269,452,19,7,4,3,.,1,.,.,.,.,.,.,.,.,.
1839,New Mexico,Valencia,.5054,.4593,.0288,.0065,10803,9819,615,55,58,15,.,12,.,.,.,.,.,.,.,.,.
1840,New York,Albany,.3355,.6031,.0506,.0109,47624,85617,7182,559,221,36,.,695,.,35,.,.,.,.,.,.,.
1841,New York,Allegany,.6119,.3390,.0352,.0139,11436,6336,657,147,20,9,.,76,.,8,.,.,.,.,.,.,.
1842,New York,Broome,.4244,.5212,.0439,.0105,36946,45381,3826,388,129,30,.,351,.,12,.,.,.,.,.,.,.
1843,New York,Cattaraugus,.5449,.4060,.0324,.0166,18382,13697,1094,247,6,10,.,126,.,171,.,.,.,.,.,.,.
1844,New York,Cayuga,.4411,.5012,.0426,.0150,14988,17031,1448,309,58,19,.,107,.,18,.,.,.,.,.,.,.
1845,New York,Chautauqua,.4950,.4601,.0322,.0128,29064,27016,1888,344,70,24,.,299,.,15,.,.,.,.,.,.,.
1846,New York,Chemung,.4980,.4621,.0317,.0083,18779,17424,1195,156,31,5,.,112,.,8,.,.,.,.,.,.,.
1847,New York,Chenango,.4955,.4500,.0429,.0117,10033,9112,869,116,35,5,.,77,.,3,.,.,.,.,.,.,.
1848,New York,Clinton,.4344,.5087,.0394,.0175,13274,15542,1205,275,29,8,.,211,.,11,.,.,.,.,.,.,.
1849,New York,Columbia,.4584,.4701,.0595,.0119,13153,13489,1707,78,38,6,.,196,.,24,.,.,.,.,.,.,.
1850,New York,Cortland,.4757,.4676,.0455,.0112,9857,9691,943,121,28,6,.,76,.,1,.,.,.,.,.,.,.
1851,New York,Delaware,.5285,.4188,.0413,.0114,10662,8450,833,117,21,3,.,80,.,9,.,.,.,.,.,.,.
1852,New York,Dutchess,.4713,.4688,.0497,.0103,52669,52390,5553,613,169,25,.,320,.,23,.,.,.,.,.,.,.
1853,New York,Erie,.3772,.5656,.0428,.0144,160176,240176,18166,3358,547,130,.,1989,.,112,.,.,.,.,.,.,.
1854,New York,Essex,.4920,.4421,.0473,.0187,8822,7927,848,197,18,3,.,114,.,3,.,.,.,.,.,.,.
1855,New York,Franklin,.4381,.5084,.0377,.0158,7643,8870,658,155,16,7,.,95,.,3,.,.,.,.,.,.,.
1856,New York,Fulton,.5276,.4298,.0308,.0118,11434,9314,668,107,17,16,.,112,.,3,.,.,.,.,.,.,.
1857,New York,Genesee,.5546,.3909,.0354,.0190,14459,10191,924,242,35,14,.,199,.,5,.,.,.,.,.,.,.
1858,New York,Greene,.5372,.4020,.0438,.0170,11332,8480,924,168,39,11,.,134,.,6,.,.,.,.,.,.,.
1859,New York,Hamilton,.6486,.3026,.0361,.0128,2388,1114,133,28,7,1,.,10,.,1,.,.,.,.,.,.,.
1860,New York,Herkimer,.5106,.4412,.0350,.0132,14147,12224,969,194,36,17,.,111,.,7,.,.,.,.,.,.,.
1861,New York,Jefferson,.4995,.4613,.0283,.0109,18192,16799,1029,163,41,10,.,180,.,4,.,.,.,.,.,.,.
1862,New York,Lewis,.5587,.3967,.0297,.0149,6103,4333,324,80,14,3,.,59,.,7,.,.,.,.,.,.,.
1863,New York,Livingston,.5600,.3848,.0387,.0165,15244,10476,1053,152,36,18,.,182,.,62,.,.,.,.,.,.,.
1864,New York,Madison,.5245,.4236,.0385,.0133,14879,12017,1092,214,44,14,.,103,.,3,.,.,.,.,.,.,.
