state_name,state_code,state_name,eac_link,state_reg_link,same_day_flag,same_day_note,same_day_description,same_day_data_source,online_flag,online_note,online_description,online_data_source,mail_flag,mail_note,mail_data_source,mail_form,markdown
Pennsylvania,PA,Pennsylvania,https://www.eac.gov/voters/pennsylvania-state-elections-office/,http://www.votespa.com/en-us/register-to-vote/Pages/Voter-Registration-Requirements.aspx,False,,,https://ballotpedia.org/Same-day_voter_registration,True,,Online voter registration is available. ,https://ballotpedia.org/Online_voter_registration,True,,https://www.eac.gov/voters/national-mail-voter-registration-form/,https://www.eac.gov/assets/1/6/Federal_Voter_Registration_6-25-14_ENG.pdf,**[Pennsylvania](http://www.votespa.com/en-us/register-to-vote/Pages/Voter-Registration-Requirements.aspx)**: Online voter registration is available. Mail in registration is available.
Rhode Island,RI,Rhode Island,https://www.eac.gov/voters/rhode-island-state-elections-office/,http://www.elections.state.ri.us/voting/registration.php,False,,,https://ballotpedia.org/Same-day_voter_registration,True,"Enacted in 2016, but not implemented as of January 2017","Online voter registration is available (Enacted in 2016, but not implemented as of January 2017). ",https://ballotpedia.org/Online_voter_registration,True,,https://www.eac.gov/voters/national-mail-voter-registration-form/,https://www.eac.gov/assets/1/6/Federal_Voter_Registration_6-25-14_ENG.pdf,"**[Rhode Island](http://www.elections.state.ri.us/voting/registration.php)**: Online voter registration is available (Enacted in 2016, but not implemented as of January 2017). Mail in registration is available."
South Carolina,SC,South Carolina,https://www.eac.gov/voters/south-carolina-state-elections-office/,https://info.scvotes.sc.gov/eng/ovr/start.aspx,False,,,https://ballotpedia.org/Same-day_voter_registration,True,,Online voter registration is available. ,https://ballotpedia.org/Online_voter_registration,True,,https://www.eac.gov/voters/national-mail-voter-registration-form/,https://www.eac.gov/assets/1/6/Federal_Voter_Registration_6-25-14_ENG.pdf,**[South Carolina](https://info.scvotes.sc.gov/eng/ovr/start.aspx)**: Online voter registration is available. Mail in registration is available.
South Dakota,SD,South Dakota,https://www.eac.gov/voters/south-dakota-state-elections-office/,https://sdsos.gov/elections-voting/voting/register-to-vote/default.aspx,False,,,https://ballotpedia.org/Same-day_voter_registration,False,,,https://ballotpedia.org/Online_voter_registration,True,,https://www.eac.gov/voters/national-mail-voter-registration-form/,https://www.eac.gov/assets/1/6/Federal_Voter_Registration_6-25-14_ENG.pdf,**[South Dakota](https://sdsos.gov/elections-voting/voting/register-to-vote/default.aspx)**: Mail in registration is available.
Tennessee,TN,Tennessee,https://www.eac.gov/voters/tennessee-state-elections-office/,http://www.tennessee.gov/sos/election/registration.htm,False,,,https://ballotpedia.org/Same-day_voter_registration,True,"Enacted in 2016, but not implemented as of January 2017","Online voter registration is available (Enacted in 2016, but not implemented as of January 2017). ",https://ballotpedia.org/Online_voter_registration,True,,https://www.eac.gov/voters/national-mail-voter-registration-form/,https://www.eac.gov/assets/1/6/Federal_Voter_Registration_6-25-14_ENG.pdf,"**[Tennessee](http://www.tennessee.gov/sos/election/registration.htm)**: Online voter registration is available (Enacted in 2016, but not implemented as of January 2017). Mail in registration is available."
Texas,TX,Texas,https://www.eac.gov/voters/texas-state-elections-office/,http://www.votetexas.gov/register-to-vote/,False,,,https://ballotpedia.org/Same-day_voter_registration,False,,,https://ballotpedia.org/Online_voter_registration,True,,https://www.eac.gov/voters/national-mail-voter-registration-form/,https://www.eac.gov/assets/1/6/Federal_Voter_Registration_6-25-14_ENG.pdf,**[Texas](http://www.votetexas.gov/register-to-vote/)**: Mail in registration is available.
Utah,UT,Utah,https://www.eac.gov/voters/utah-state-elections-office/,https://secure.utah.gov/voterreg/index.html,False,,,https://ballotpedia.org/Same-day_voter_registration,True,,Online voter registration is available. ,https://ballotpedia.org/Online_voter_registration,True,,https://www.eac.gov/voters/national-mail-voter-registration-form/,https://www.eac.gov/assets/1/6/Federal_Voter_Registration_6-25-14_ENG.pdf,**[Utah](https://secure.utah.gov/voterreg/index.html)**: Online voter registration is available. Mail in registration is available.
Vermont,VT,Vermont,https://www.eac.gov/voters/vermont-state-elections-office/,https://www.sec.state.vt.us/elections/voters/registration.aspx,True,implemented after 2016 election,Same-day voter registration available (implemented after 2016 election). ,https://ballotpedia.org/Same-day_voter_registration,True,,Online voter registration is available. ,https://ballotpedia.org/Online_voter_registration,True,,https://www.eac.gov/voters/national-mail-voter-registration-form/,https://www.eac.gov/assets/1/6/Federal_Voter_Registration_6-25-14_ENG.pdf,**[Vermont](https://www.sec.state.vt.us/elections/voters/registration.aspx)**: Online voter registration is available. Same-day voter registration available (implemented after 2016 election). Mail in registration is available.
Virginia,VA,Virginia,https://www.eac.gov/voters/virginia-state-elections-office/,http://elections.virginia.gov/registration/index.html,False,,,https://ballotpedia.org/Same-day_voter_registration,True,,Online voter registration is available. ,https://ballotpedia.org/Online_voter_registration,True,,https://www.eac.gov/voters/national-mail-voter-registration-form/,https://www.eac.gov/assets/1/6/Federal_Voter_Registration_6-25-14_ENG.pdf,**[Virginia](http://elections.virginia.gov/registration/index.html)**: Online voter registration is available. Mail in registration is available.
Washington,WA,Washington,https://www.eac.gov/voters/washington-state-elections-office/,https://www.sos.wa.gov/elections/register.aspx,False,,,https://ballotpedia.org/Same-day_voter_registration,True,,Online voter registration is available. ,https://ballotpedia.org/Online_voter_registration,True,,https://www.eac.gov/voters/national-mail-voter-registration-form/,https://www.eac.gov/assets/1/6/Federal_Voter_Registration_6-25-14_ENG.pdf,**[Washington](https://www.sos.wa.gov/elections/register.aspx)**: Online voter registration is available. Mail in registration is available.
