"fips_fixed","clinton","trump","johnson","stein","other","totalvotes","state","jurisdiction"
"18091",0.437979780103091,0.501891467380484,0.0557706346923877,0.00360595535694534,0.000752162467092892,45203,"IN","La Porte"
"18093",0.219820384294068,0.732821637426901,0.0434419381787803,0.00344611528822055,0.000469924812030075,19152,"IN","Lawrence"
"18095",0.34493312804912,0.600567623216903,0.0498803539297705,0.00383980411434083,0.000779090689866256,53909,"IN","Madison"
"18097",0.587515039793362,0.359740818827062,0.0501970350910114,0.00200346605146093,0.000543640237104412,362372,"IN","Marion"
"18099",0.265346753677691,0.679570843933193,0.0511005419754452,0.00243335914168787,0.00154850127198319,18082,"IN","Marshall"
"18101",0.183198170097733,0.76876689540445,0.0480349344978166,0,0,4809,"IN","Martin"
"18103",0.205162438807299,0.7398753894081,0.0518469069870939,0.00222518914107699,0.000890075656430797,13482,"IN","Miami"
"18105",0.58534916344476,0.352277004140008,0.0499024874260102,0.0107263831388784,0.00174496185034386,58454,"IN","Monroe"
"18107",0.221826339403537,0.729678015307469,0.04539456320929,0.0025072578516759,0.000593824228028504,15156,"IN","Montgomery"
"18109",0.19309462915601,0.756841432225064,0.0470588235294118,0.0020460358056266,0.000959079283887468,31280,"IN","Morgan"
"18111",0.242277825711821,0.703537532355479,0.0541846419327006,0,0,5795,"IN","Newton"
"18113",0.231142687981054,0.722202486678508,0.0466548253404381,0,0,16890,"IN","Noble"
"18115",0.234851078397809,0.725094145840466,0.0386853817185895,0.00136939404313591,0,2921,"IN","Ohio"
"18117",0.25,0.7083740234375,0.0416259765625,0,0,8192,"IN","Orange"
"18119",0.227416150520042,0.719060418370924,0.0494332125745004,0.00338903821432745,0.00070118032020568,8557,"IN","Owen"
"18121",0.218930416286843,0.738833181403829,0.0413248252810696,0.000759647523549073,0.000151929504709815,6582,"IN","Parke"
"18123",0.380136561142148,0.565611421477343,0.0505276225946617,0.00297951582867784,0.00074487895716946,8055,"IN","Perry"
"18125",0.216998494227874,0.735820645808934,0.0471808599631922,0,0,5977,"IN","Pike"
"18127",0.436274128773157,0.503070345899728,0.0550978105972276,0.00475450187848167,0.000803212851405623,77190,"IN","Porter"
"18129",0.282425603593487,0.674099623004732,0.0434747734017807,0,0,12467,"IN","Posey"
"18131",0.243084814068511,0.705990108078403,0.046895035720828,0.0023813885326983,0.00164865359956036,5459,"IN","Pulaski"
"18133",0.228066598708801,0.722867821950391,0.0466870540265036,0.00135915732246007,0.00101936799184506,14715,"IN","Putnam"
"18135",0.233887932683113,0.718779881430484,0.0473321858864028,0,0,10458,"IN","Randolph"
"18137",0.192896174863388,0.765495706479313,0.0400468384074941,0.000702576112412178,0.000858704137392662,12810,"IN","Ripley"
"18139",0.21139451067369,0.73357360687552,0.0550318824507901,0,0,7214,"IN","Rush"
"18141",0.474759222242413,0.472660367072506,0.0471197528620752,0.00367981101217518,0.00178084681083046,110060,"IN","St. Joseph"
"18143",0.290297769475882,0.667399186902538,0.0377980441709702,0.00285682891989891,0.00164817053071091,9101,"IN","Scott"
"18145",0.236023118817384,0.706791152606424,0.0539068578415027,0.00238968545070579,0.00088918528398355,17994,"IN","Shelby"
"18147",0.286702074356148,0.658583024351137,0.0527106924541537,0.00150315662892073,0.000501052209640244,9979,"IN","Spencer"
"18149",0.269781053544331,0.690114892694559,0.0401040537611099,0,0,9226,"IN","Starke"
"18151",0.257036935328848,0.695661128655774,0.0454483042702183,0.00123575449677331,0.000617877248386654,14566,"IN","Steuben"
"18153",0.246874634887253,0.71713985278654,0.0359855123262063,0,0,8559,"IN","Sullivan"
"18155",0.251419302514193,0.691538253582049,0.0408218437415518,0.00135171668018383,0.0148688834820222,3699,"IN","Switzerland"
"18157",0.436407262257058,0.492169879228985,0.0640166360073582,0.00542269855234744,0.00198352395425098,62515,"IN","Tippecanoe"
"18159",0.211318242343542,0.744207723035952,0.044474034620506,0,0,7510,"IN","Tipton"
"18161",0.217259191735035,0.742935278030994,0.0382862351868733,0.00151929504709815,0,3291,"IN","Union"
"18163",0.393479250279283,0.558511591984222,0.0450025514777884,0.00263422841932503,0.000372377839381025,72507,"IN","Vanderburgh"
"18165",0.299899120910794,0.650381899409137,0.0462602680501513,0.00244992073785848,0.00100879089205937,6939,"IN","Vermillion"
"18167",0.400095434225727,0.550931739414335,0.0432718870862424,0.00477171128635291,0.000929227987342408,39818,"IN","Vigo"
"18169",0.224086724086724,0.729209979209979,0.0429165429165429,0.0028957528957529,0.000891000891000891,13468,"IN","Wabash"
"18171",0.213486005089059,0.737404580152672,0.0468193384223919,0.00127226463104326,0.00101781170483461,3930,"IN","Warren"
"18173",0.307073574639224,0.645949508263206,0.04697691709757,0,0,29589,"IN","Warrick"
"18175",0.231593744508874,0.721226497979266,0.0431382885257424,0.00281145668599543,0.001230012300123,11382,"IN","Washington"
"18177",0.32534500957817,0.626607764181555,0.0478908479612182,7.81891395285195e-05,7.81891395285195e-05,25579,"IN","Wayne"
"18179",0.19613196814562,0.758816837315131,0.0408797876374668,0.00212362533181646,0.00204778156996587,13185,"IN","Wells"
"18181",0.257634536954143,0.685665970357107,0.0527205809211181,0.00238734706057893,0.00159156470705262,10053,"IN","White"
"18183",0.216283684311592,0.727005056647251,0.0511425462459195,0.00371247519682519,0.0018562375984126,15623,"IN","Whitley"
"19001",0.294438669438669,0.639553014553014,0.033004158004158,0.00363825363825364,0.0293659043659044,3848,"IA","Adair"
"19003",0.265133740028156,0.654622243078367,0.0436414828718911,0.00422336931018301,0.0323791647114031,2131,"IA","Adams"
"19005",0.344136460554371,0.5818052594172,0.0322672352523099,0.00653873489694385,0.0352523098791755,7035,"IA","Allamakee"
"19007",0.292769528728212,0.650903808908973,0.0224338282763073,0.00677856681730148,0.0271142672692059,6196,"IA","Appanoose"
"19009",0.309810671256454,0.612736660929432,0.0306942053930006,0.00688468158347676,0.0398737808376363,3486,"IA","Audubon"
"19011",0.334836446925775,0.589220528237063,0.0387946460525374,0.00615560804523656,0.0309927707393887,13971,"IA","Benton"
"19013",0.495838909655883,0.422662174842709,0.036426846339625,0.00938360484255542,0.0356884643192272,65007,"IA","Black Hawk"
"19015",0.387211740041929,0.522990915443746,0.0449336128581412,0.00726764500349406,0.0375960866526904,14310,"IA","Boone"
"19017",0.39120590168724,0.52647724782704,0.0396610912278139,0.00591629537652472,0.0367394638813819,13691,"IA","Bremer"
"19019",0.38257685265491,0.530981979377469,0.046063409463236,0.00520381613183001,0.0351739423725547,10377,"IA","Buchanan"
"19021",0.340770791075051,0.585013721512946,0.0343634411168118,0.00572724018613531,0.0341248061090562,8381,"IA","Buena Vista"
"19023",0.284452063826981,0.648951602268232,0.0288803903468284,0.00567057892654622,0.0320453646314124,7583,"IA","Butler"
"19025",0.267918742813338,0.664622460712917,0.0331544653123802,0.00344959754695286,0.0308547336144117,5218,"IA","Calhoun"
"19027",0.30977345066467,0.621419209885789,0.0297697060475566,0.00571054109717281,0.0333270923048118,10682,"IA","Carroll"
"19029",0.271047513198111,0.661433731592109,0.0286190608502362,0.0072242289524868,0.0316754654070575,7198,"IA","Cass"
"19031",0.37368912885474,0.549787145675423,0.0378984529124701,0.00726819644896688,0.0313570761084,9631,"IA","Cedar"
"19033",0.426243678955785,0.50226909279509,0.0367809136880322,0.00561870596879457,0.0290876085922981,23137,"IA","Cerro Gordo"
"19035",0.265874901029295,0.66381631037213,0.0326207442596991,0.00459224069675376,0.0330958036421219,6315,"IA","Cherokee"
"19037",0.347652654188401,0.574102485424977,0.036207425590672,0.00736422215403498,0.0346732126419147,6518,"IA","Chickasaw"
"19039",0.324905744067421,0.601685517853182,0.03548458638279,0.00399201596806387,0.0339321357285429,4509,"IA","Clarke"
"19041",0.2583275901677,0.675051688490696,0.0330806340454859,0.0040202159430278,0.0295198713530898,8706,"IA","Clay"
"19043",0.351198871650212,0.576868829337094,0.0362373874362591,0.00553325377020723,0.0301616578062276,9217,"IA","Clayton"
"19045",0.432389600376922,0.482974257934638,0.0353364457960338,0.00788109821390329,0.0414185976785026,23347,"IA","Clinton"
"19047",0.282933068068779,0.656103453176069,0.0244422339064942,0.00468949836578087,0.0318317464828762,7037,"IA","Crawford"
"19049",0.406888151757023,0.501166165647352,0.0455322898310356,0.0046905773815694,0.0417228153830206,38588,"IA","Dallas"
"19051",0.247780877504438,0.690590920618818,0.0215571899568856,0.0063403499873193,0.0337306619325387,3943,"IA","Davis"
"19053",0.317389006342495,0.60676532769556,0.0325052854122622,0.00766384778012685,0.035676532769556,3784,"IA","Decatur"
"19055",0.316629189420709,0.609701252810793,0.0360852339650926,0.00428311382374987,0.0333012099796552,9339,"IA","Delaware"
"19057",0.42613253074568,0.49447356130974,0.0329510663691557,0.00695345337553837,0.0394893881998858,19271,"IA","Des Moines"
"19059",0.29224442956871,0.645787510758344,0.0279238787415129,0.00516400497274553,0.028880175958688,10457,"IA","Dickinson"
"19061",0.4549889488461,0.467135262141335,0.0400828338742757,0.0075466438342526,0.0302463113040362,50221,"IA","Dubuque"
"19063",0.282120582120582,0.64948024948025,0.0288981288981289,0.00540540540540541,0.0340956340956341,4810,"IA","Emmet"
"19065",0.365319865319865,0.556545850663498,0.0324816795405031,0.00613982966924143,0.0395127748068925,10098,"IA","Fayette"
"19067",0.389631082240471,0.536217673734526,0.0295379335702905,0.00735384238264493,0.0372594680720677,8159,"IA","Floyd"
"19069",0.295877923107412,0.62683313515656,0.0372572334522394,0.00614347998414586,0.0338882282996433,5046,"IA","Franklin"
"19071",0.265070189925681,0.662537847508946,0.0316542802091935,0.00578034682080925,0.0349573355353702,3633,"IA","Fremont"
"19073",0.346800656275636,0.578342904019688,0.0328137817883511,0.00635767022149303,0.0356849876948318,4876,"IA","Greene"
"19075",0.267281105990783,0.651929723502304,0.0335541474654378,0.00547235023041475,0.0417626728110599,6944,"IA","Grundy"
"19077",0.297799174690509,0.623796423658872,0.0443603851444292,0.00326685006877579,0.030777166437414,5816,"IA","Guthrie"
"19079",0.350160565189467,0.573281952472704,0.0332691072575466,0.0039820166987797,0.0393063583815029,7785,"IA","Hamilton"
"19081",0.267486937468397,0.670318557222316,0.0279790999494354,0.0040451710770268,0.0301702342828249,5933,"IA","Hancock"
"19083",0.322606783192499,0.608172242157657,0.0344947331867114,0.00324111586989235,0.03148512559324,8639,"IA","Hardin"
"19085",0.282176906779661,0.649099576271186,0.0278072033898305,0.00662076271186441,0.0342955508474576,7552,"IA","Harrison"
"19087",0.305684210526316,0.608315789473684,0.0354736842105263,0.0118947368421053,0.0386315789473684,9500,"IA","Henry"
"19089",0.361422413793103,0.562715517241379,0.0282327586206897,0.00818965517241379,0.0394396551724138,4640,"IA","Howard"
"19091",0.243532386695195,0.694028399144135,0.0247033651040654,0.00389029371717565,0.0338455553394281,5141,"IA","Humboldt"
"19093",0.217105263157895,0.727796052631579,0.028234649122807,0.00246710526315789,0.0243969298245614,3648,"IA","Ida"
"19095",0.34259053543657,0.57820484336814,0.035214396800711,0.00677627193956898,0.03721395245501,9002,"IA","Iowa"
"19097",0.36528941355674,0.554455445544555,0.0303693830921554,0.00809215536938309,0.0417936024371668,10504,"IA","Jackson"
"19099",0.369759700405701,0.549256215541454,0.037189222927286,0.00494122542390513,0.038853635701654,19226,"IA","Jasper"
"19101",0.447797223898612,0.452383826191913,0.0296922148461074,0.0308992154496077,0.0392275196137598,8285,"IA","Jefferson"
"19103",0.647942588672621,0.271619598327224,0.0355981207083484,0.0113325416903299,0.0335071506014766,77476,"IA","Johnson"
"19105",0.369968737788198,0.558812035951544,0.0297967956232903,0.00605705353653771,0.0353653771004299,10236,"IA","Jones"
"19107",0.266534260178749,0.673286991062562,0.0276067527308838,0.00556107249255213,0.0270109235352532,5035,"IA","Keokuk"
"19109",0.290894532143674,0.646648364218714,0.0221917181423015,0.00377487989018531,0.0364905056051247,8742,"IA","Kossuth"
"19111",0.380192084174466,0.538508594849208,0.0311983850247752,0.00887012907567138,0.0412308068758794,16347,"IA","Lee"
"19113",0.49895865081784,0.409682007518033,0.0470469707744929,0.00850858478106268,0.0358037861085712,118116,"IA","Linn"
"19115",0.324665090622537,0.604609929078014,0.0267927501970055,0.00551615445232467,0.0384160756501182,5076,"IA","Louisa"
"19117",0.282103825136612,0.655054644808743,0.026183970856102,0.0063752276867031,0.0302823315118397,4392,"IA","Lucas"
"19119",0.14305706733012,0.807339449541284,0.0213030632872026,0.00279894262167626,0.025501477219717,6431,"IA","Lyon"
"19121",0.307603951297955,0.615667355846543,0.0398575694923042,0.00470939581897542,0.0321617275442224,8706,"IA","Madison"
"19123",0.244241350368367,0.69308962044204,0.0296558798843607,0.00354378438869719,0.0294693649165346,10723,"IA","Mahaska"
"19125",0.304707909510311,0.609304652326163,0.0392418431437941,0.00405758434772942,0.0426880106720027,17991,"IA","Marion"
