"Report Date/Time: 10/28/2016 01:57 PM","","","","","STATE OF ARIZONA REGISTRATION REPORT","","","","","Page Number 1"
"","","","","","2016 General Election Voter Registration - November 8, 2016","","","","",""
"","","","","","Compiled and Issued by the Arizona Secretary of State","","","","",""
"","","","","","ACTIVE","","","","",""
"","","Precincts","Date/Period","Democratic","","Green","Libertarian","Republican","Other","TOTAL"
"","","","Maricopa","29","18,432","","104","669","32,543","27,783","79,531"
"","","","Yuma","21","9,309","","27","275","15,665","13,915","39,191"
"","","","TOTALS","50","27,741","","131","944","48,208","41,698","118,722"
"","","Legislative District 14","","","","","","","","",""
"","","","Cochise","49","20,121","","147","560","28,296","26,033","75,157"
"","","","Graham","20","4,034","","11","72","7,780","3,670","15,567"
"","","","Greenlee","8","2,038","","2","30","1,328","1,304","4,702"
"","","","Pima","17","6,924","","54","289","13,169","9,370","29,806"
"","","","TOTALS","94","33,117","","214","951","50,573","40,377","125,232"
"","","Legislative District 15","","","","","","","","",""
"","","","Maricopa","42","31,899","","212","1,363","59,241","47,554","140,269"
"","","","TOTALS","42","31,899","","212","1,363","59,241","47,554","140,269"
"","","Legislative District 16","","","","","","","","",""
"","","","Maricopa","19","17,275","","121","745","32,727","29,440","80,308"
"","","","Pinal","21","9,776","","62","386","18,903","18,786","47,913"
"","","","TOTALS","40","27,051","","183","1,131","51,630","48,226","128,221"
"","","Legislative District 17","","","","","","","","",""
"","","","Maricopa","39","35,555","","170","1,324","51,294","47,196","135,539"
"","","","TOTALS","39","35,555","","170","1,324","51,294","47,196","135,539"
"","","Legislative District 18","","","","","","","","",""
"","","","Maricopa","42","43,494","","304","1,474","49,641","46,461","141,374"
"","","","TOTALS","42","43,494","","304","1,474","49,641","46,461","141,374"
"","","Legislative District 19","","","","","","","","",""
"","","","Maricopa","28","36,684","","111","760","14,490","35,469","87,514"
"","","","TOTALS","28","36,684","","111","760","14,490","35,469","87,514"
"","","Legislative District 20","","","","","","","","",""
"","","","Maricopa","47","34,864","","259","1,325","43,908","43,802","124,158"
"","","","TOTALS","47","34,864","","259","1,325","43,908","43,802","124,158"
"","","Legislative District 21","","","","","","","","",""
"","","","Maricopa","42","34,234","","194","963","46,843","44,750","126,984"
"","","","TOTALS","42","34,234","","194","963","46,843","44,750","126,984"
"","","Legislative District 22","","","","","","","","",""
"","","","Maricopa","48","31,489","","155","993","68,041","48,295","148,973"
"","","","TOTALS","48","31,489","","155","993","68,041","48,295","148,973"
"","","Legislative District 23","","","","","","","","",""
"","","","Maricopa","57","34,494","","161","1,238","71,833","53,285","161,011"
"","","","TOTALS","57","34,494","","161","1,238","71,833","53,285","161,011"
"","","Legislative District 24","","","","","","","","",""
"","","","Maricopa","40","43,682","","341","1,287","23,064","37,285","105,659"
"","","","TOTALS","40","43,682","","341","1,287","23,064","37,285","105,659"
"","","Legislative District 25","","","","","","","","",""
"","","","Maricopa","37","28,802","","231","1,294","59,271","42,984","132,582"
"","","","TOTALS","37","28,802","","231","1,294","59,271","42,984","132,582"
"","","Legislative District 26","","","","","","","","",""
"","","","Maricopa","34","33,312","","335","1,313","21,654","36,515","93,129"
"","","","TOTALS","34","33,312","","335","1,313","21,654","36,515","93,129"
"","","Legislative District 27","","","","","","","","",""
"","","","Maricopa","35","44,390","","169","727","12,263","34,877","92,426"
"","","","TOTALS","35","44,390","","169","727","12,263","34,877","92,426"
"","","Legislative District 28","","","","","","","","",""
"","","","Maricopa","57","39,691","","264","1,420","50,882","42,241","134,498"
"","","","TOTALS","57","39,691","","264","1,420","50,882","42,241","134,498"
"","","Legislative District 29","","","","","","","","",""
"","","","Maricopa","33","32,560","","112","811","14,572","31,196","79,251"
"","","","TOTALS","33","32,560","","112","811","14,572","31,196","79,251"
"Report Date/Time: 10/28/2016 01:57 PM","","","","","","STATE OF ARIZONA REGISTRATION REPORT","","","","","Page Number 5"
"","","","","","","2016 General Election Voter Registration - November 8, 2016","","","","",""
"","","","","","","Compiled and Issued by the Arizona Secretary of State","","","","",""
"","","","","","","ACTIVE","","","","",""
"","Legislative","","","Precincts","Democratic","","Green","Libertarian","Republican","Other","TOTAL"
"","","Legislative District 30","","","","","","","","",""
"","","","Maricopa","29","31,030","","174","787","15,989","30,390","78,370"
"","","","TOTALS","29","31,030","","174","787","15,989","30,390","78,370"
"","","","STATE TOTALS","1,470","1,091,323","","6,894","31,358","1,239,614","1,219,277","3,588,466"
"Report Date/Time: 10/28/2016 01:57 PM","","","","","STATE OF ARIZONA REGISTRATION REPORT","","","","","Page Number 6"
"","","","","","2016 General Election Voter Registration - November 8, 2016","","","","",""
"","","","","","Compiled and Issued by the Arizona Secretary of State","","","","",""
"","","","","","INACTIVE","","","","",""
"","","Precincts","Date/Period","Democratic","","Green","Libertarian","Republican","Other","TOTAL"
"","Apache","45","MAY 2016","1,542","","7","14","605","904","3,072"
"","","45","P.E. 2016","2,216","","9","22","814","1,297","4,358"
"","","45","G.E. 2016","2,324","","10","26","908","1,512","4,780"
"","Cochise","49","MAY 2016","2,331","","25","72","2,747","4,058","9,233"
"","","49","P.E. 2016","2,301","","23","72","2,859","4,064","9,319"
"","","49","G.E. 2016","2,240","","23","72","2,765","3,804","8,904"
"","Coconino","71","MAY 2016","3,562","","68","210","2,604","7,317","13,761"
"","","71","P.E. 2016","4,011","","67","202","2,764","7,458","14,502"
"","","71","G.E. 2016","3,638","","60","175","2,486","6,457","12,816"
"","Gila","39","MAY 2016","1,402","","7","43","1,614","2,098","5,164"
"","","39","P.E. 2016","1,870","","8","56","2,117","2,659","6,710"
"","","39","G.E. 2016","1,779","","8","56","1,942","2,554","6,339"
"","Graham","22","MAY 2016","619","","3","16","961","826","2,425"
"","","22","P.E. 2016","899","","3","24","1,300","1,300","3,526"
"","","22","G.E. 2016","846","","3","19","1,146","1,208","3,222"
"","Greenlee","8","MAY 2016","150","","0","2","116","183","451"
"","","8","P.E. 2016","140","","0","2","114","171","427"
"","","8","G.E. 2016","148","","0","2","122","166","438"
"","La Paz","11","MAY 2016","506","","8","12","515","798","1,839"
"","","11","P.E. 2016","714","","9","17","817","1,293","2,850"
"","","11","G.E. 2016","726","","9","15","874","1,219","2,843"
"","Maricopa","724","MAY 2016","75,447","","685","3,395","72,042","126,765","278,334"
"","","724","P.E. 2016","76,243","","697","3,796","73,790","142,029","296,555"
"","","724","G.E. 2016","70,365","","641","3,126","70,514","132,119","276,765"
"","Mohave","24","MAY 2016","5,787","","34","160","8,000","12,984","26,965"
"","","24","P.E. 2016","5,904","","38","184","8,140","13,634","27,900"
"","","24","G.E. 2016","5,713","","35","174","7,805","13,114","26,841"
"","Navajo","14","MAY 2016","2,048","","10","53","1,711","2,128","5,950"
"","","14","P.E. 2016","2,275","","12","56","2,144","2,129","6,616"
"","","14","G.E. 2016","2,095","","12","56","1,923","2,156","6,242"
"","Pima","248","MAY 2016","25,388","","383","876","19,892","34,417","80,956"
"","","248","P.E. 2016","25,936","","411","886","20,600","36,582","84,415"
"","","248","G.E. 2016","21,886","","350","765","17,848","31,768","72,617"
"","Pinal","101","MAY 2016","11,351","","64","302","9,725","18,979","40,421"
"","","102","P.E. 2016","10,782","","60","289","9,174","18,081","38,386"
"","","102","G.E. 2016","10,020","","51","273","8,561","16,885","35,790"
"","Santa Cruz","24","MAY 2016","1,216","","4","17","430","1,215","2,882"
"","","24","P.E. 2016","1,139","","4","15","399","1,138","2,695"
"","","24","G.E. 2016","1,017","","4","15","376","1,020","2,432"
"","Yavapai","44","MAY 2016","3,209","","59","188","5,397","8,286","17,139"
"","","45","P.E. 2016","3,578","","68","226","6,096","10,129","20,097"
"","","45","G.E. 2016","3,320","","64","214","5,677","9,362","18,637"
"","Yuma","43","MAY 2016","5,881","","17","186","5,645","10,540","22,269"
"","","44","P.E. 2016","6,053","","20","204","5,852","10,814","22,943"
"","","44","G.E. 2016","5,422","","19","184","5,355","9,924","20,904"
"","TOTALS:","1,467","MAY 2016","140,439","","1,374","5,546","132,004","231,498","510,861"
"","","1,470","P.E. 2016","144,061","","1,429","6,051","136,980","252,778","541,299"
"","","1,470","G.E. 2016","131,539","","1,289","5,172","128,302","233,268","499,570"
"","PERCENTAGES:","","MAY 2016","27.49","","0.27","1.09","25.84","45.32",""
"","","","P.E. 2016","26.61","","0.26","1.12","25.31","46.70",""
"","","","G.E. 2016","26.33","","0.26","1.04","25.68","46.69",""
"Report Date/Time: 10/28/2016 01:57 PM","","","","","","STATE OF ARIZONA REGISTRATION REPORT","","","","","Page Number 7"
"","","","","","","2016 General Election Voter Registration - November 8, 2016","","","","",""
"","","","","","","Compiled and Issued by the Arizona Secretary of State","","","","",""
"","","","","","","INACTIVE","","","","",""
"","Congressional","","","Precincts","Democratic","","Green","Libertarian","Republican","Other","TOTAL"
"","","Congressional District 1","","","","","","","","",""
"","","","Apache","45","2,324","","10","26","908","1,512","4,780"
"","","","Coconino","71","3,638","","60","175","2,486","6,457","12,816"
"","","","Gila","22","1,090","","2","18","508","1,117","2,735"
"","","","Graham","22","846","","3","19","1,146","1,208","3,222"
"","","","Greenlee","8","148","","0","2","122","166","438"
"","","","Maricopa","3","53","","0","1","11","50","115"
"","","","Mohave","2","14","","0","0","12","38","64"
"","","","Navajo","14","2,095","","12","56","1,923","2,156","6,242"
"","","","Pima","26","1,703","","14","70","2,615","2,963","7,365"
"","","","Pinal","60","5,898","","26","124","3,839","8,107","17,994"
"","","","Yavapai","7","566","","16","34","612","1,399","2,627"
"","","","TOTALS","280","18,375","","143","525","14,182","25,173","58,398"
"","","Congressional District 2","","","","","","","","",""
"","","","Cochise","49","2,240","","23","72","2,765","3,804","8,904"
"","","","Pima","145","13,390","","235","526","12,086","20,480","46,717"
"","","","TOTALS","194","15,630","","258","598","14,851","24,284","55,621"
"","","Congressional District 3","","","","","","","","",""
"","","","Maricopa","46","4,119","","19","131","2,854","7,374","14,497"
"","","","Pima","77","6,793","","101","169","3,147","8,325","18,535"
"","","","Pinal","1","19","","0","0","2","14","35"
"","","","Santa Cruz","24","1,017","","4","15","376","1,020","2,432"
"","","","Yuma","29","3,515","","12","118","2,402","5,782","11,829"
"","","","TOTALS","177","15,463","","136","433","8,781","22,515","47,328"
"","","Congressional District 4","","","","","","","","",""
"","","","Gila","17","689","","6","38","1,434","1,437","3,604"
"","","","La Paz","11","726","","9","15","874","1,219","2,843"
"","","","Maricopa","18","497","","7","20","1,013","1,252","2,789"
"","","","Mohave","22","5,699","","35","174","7,793","13,076","26,777"
"","","","Pinal","41","4,103","","25","149","4,720","8,764","17,761"
"","","","Yavapai","38","2,754","","48","180","5,065","7,963","16,010"
"","","","Yuma","15","1,907","","7","66","2,953","4,142","9,075"
"","","","TOTALS","162","16,375","","137","642","23,852","37,853","78,859"
"","","Congressional District 5","","","","","","","","",""
"","","","Maricopa","113","11,574","","107","507","18,852","27,016","58,056"
"","","","TOTALS","113","11,574","","107","507","18,852","27,016","58,056"
"","","Congressional District 6","","","","","","","","",""
"","","","Maricopa","156","9,732","","113","515","13,340","21,123","44,823"
"","","","TOTALS","156","9,732","","113","515","13,340","21,123","44,823"
"","","Congressional District 7","","","","","","","","",""
"","","","Maricopa","105","14,692","","87","495","5,147","19,914","40,335"
"","","","TOTALS","105","14,692","","87","495","5,147","19,914","40,335"
"","","Congressional District 8","","","","","","","","",""
"","","","Maricopa","142","11,357","","84","437","14,836","21,971","48,685"
"","","","TOTALS","142","11,357","","84","437","14,836","21,971","48,685"
"","","Congressional District 9","","","","","","","","",""
"","","","Maricopa","141","18,341","","224","1,020","14,461","33,419","67,465"
"","","","TOTALS","141","18,341","","224","1,020","14,461","33,419","67,465"
"","","","STATE TOTALS","1,470","131,539","","1,289","5,172","128,302","233,268","499,570"
"Report Date/Time: 10/28/2016 01:57 PM","","","","","","STATE OF ARIZONA REGISTRATION REPORT","","","","","Page Number 8"
"","","","","","","2016 General Election Voter Registration - November 8, 2016","","","","",""
"","","","","","","Compiled and Issued by the Arizona Secretary of State","","","","",""
"","","","","","","INACTIVE","","","","",""
"","Legislative","","","Precincts","Democratic","","Green","Libertarian","Republican","Other","TOTAL"
"","","Legislative District 1","","","","","","","","",""
"","","","Maricopa","14","763","","12","43","1,577","1,921","4,316"
"","","","Yavapai","35","2,198","","40","159","4,379","6,482","13,258"
"","","","TOTALS","49","2,961","","52","202","5,956","8,403","17,574"
"","","Legislative District 2","","","","","","","","",""
"","","","Pima","33","2,911","","24","80","2,256","4,240","9,511"
"","","","Santa Cruz","24","1,017","","4","15","376","1,020","2,432"
"","","","TOTALS","57","3,928","","28","95","2,632","5,260","11,943"
"","","Legislative District 3","","","","","","","","",""
"","","","Pima","41","4,968","","113","134","2,260","6,011","13,486"
"","","","TOTALS","41","4,968","","113","134","2,260","6,011","13,486"
"","","Legislative District 4","","","","","","","","",""
"","","","Maricopa","18","988","","6","30","1,019","2,155","4,198"
"","","","Pima","17","732","","6","6","313","829","1,886"
"","","","Pinal","1","19","","0","0","2","14","35"
"","","","Yuma","23","3,049","","6","89","1,849","4,769","9,762"
"","","","TOTALS","59","4,788","","18","125","3,183","7,767","15,881"
"","","Legislative District 5","","","","","","","","",""
"","","","La Paz","11","726","","9","15","874","1,219","2,843"
"","","","Mohave","22","5,699","","35","174","7,793","13,076","26,777"
"","","","TOTALS","33","6,425","","44","189","8,667","14,295","29,620"
"","","Legislative District 6","","","","","","","","",""
"","","","Coconino","45","2,693","","57","152","2,057","5,487","10,446"
"","","","Gila","18","698","","6","39","1,445","1,448","3,636"
"","","","Navajo","5","304","","1","17","735","572","1,629"
"","","","Yavapai","10","1,122","","24","55","1,298","2,880","5,379"
"","","","TOTALS","78","4,817","","88","263","5,535","10,387","21,090"
"","","Legislative District 7","","","","","","","","",""
"","","","Apache","45","2,324","","10","26","908","1,512","4,780"
"","","","Coconino","26","945","","3","23","429","970","2,370"
"","","","Gila","3","471","","1","6","57","310","845"
"","","","Graham","2","241","","1","0","40","165","447"
"","","","Mohave","2","14","","0","0","12","38","64"
"","","","Navajo","9","1,791","","11","39","1,188","1,584","4,613"
"","","","Pinal","1","0","","0","0","0","0","0"
"","","","TOTALS","88","5,786","","26","94","2,634","4,579","13,119"
"","","Legislative District 8","","","","","","","","",""
"","","","Gila","18","610","","1","11","440","796","1,858"
"","","","Pinal","51","5,542","","22","120","4,045","8,741","18,470"
"","","","TOTALS","69","6,152","","23","131","4,485","9,537","20,328"
"","","Legislative District 9","","","","","","","","",""
"","","","Pima","57","5,522","","104","234","4,559","7,846","18,265"
"","","","TOTALS","57","5,522","","104","234","4,559","7,846","18,265"
"","","Legislative District 10","","","","","","","","",""
"","","","Pima","49","5,012","","81","181","4,228","7,752","17,254"
"","","","TOTALS","49","5,012","","81","181","4,228","7,752","17,254"
"","","Legislative District 11","","","","","","","","",""
"","","","Pima","34","2,058","","19","90","3,056","3,652","8,875"
"","","","Pinal","27","2,379","","16","74","2,136","3,949","8,554"
"","","","TOTALS","61","4,437","","35","164","5,192","7,601","17,429"
"","","Legislative District 12","","","","","","","","",""
"","","","Maricopa","34","3,714","","34","182","7,368","9,575","20,873"
"","","","Pinal","1","43","","0","5","79","98","225"
"","","","TOTALS","35","3,757","","34","187","7,447","9,673","21,098"
"Report Date/Time: 10/28/2016 01:57 PM","","","","","","STATE OF ARIZONA REGISTRATION REPORT","","","","","Page Number 9"
"","","","","","","2016 General Election Voter Registration - November 8, 2016","","","","",""
"","","","","","","Compiled and Issued by the Arizona Secretary of State","","","","",""
"","","","","","","INACTIVE","","","","",""
"","Legislative","","","Precincts","Democratic","","Green","Libertarian","Republican","Other","TOTAL"
"","","Legislative District 13","","","","","","","","",""
