Report Date/Time: 10/22/2013 04:41 PM,,,,,STATE OF ARIZONA REGISTRATION REPORT,,,,,,,,Page Number 1,,
,,,,,"2013 October Voter Registration - October 1, 2013",,,,,,,,,,
,,,,,,,Compiled and Issued by the Arizona Secretary of State,,,,,,,,
,,,,,,ACTIVE,,,,,,,,,
,,Precincts,Date/Period,,,,,,,,,Other,TOTAL,,
,,,,Americans ,,,,Democratic,Green,Libertarian,Republican,,,,
,,,,,57,0,,,"5,021",37,236,"4,872",,"17,937",
,,Legislative District 28,,,57,,,,,,,,"7,771","17,937",
,,,Maricopa,,,,,,,,,,"7,771",,
,,,,TOTALS,,0,,,"5,021",37,236,"4,872",,Page Number 10,
,,,,,,,STATE OF ARIZONA REGISTRATION REPORT,,,,,,,,
,,,,,,,"2013 October Voter Registration - October 1, 2013",,,,,,,,
Report Date/Time: 10/22/2013 04:41 PM,,,,,,,,Compiled and Issued by the Arizona Secretary of State,,,,,,,
,,,,,Precincts,,INACTIVE,,,,,,,TOTAL,
,,,,,,,,,,,,,Other,,
,,,,,,Americans ,,,Democratic,Green,Libertarian,Republican,,,
,Legislative,,,,,,,,,,,,,,
,,,,,33,1,,,"4,207",18,287,"1,874",,"12,331",
,,Legislative District 29,,,33,,,,,,,,"5,944","12,331",
,,,Maricopa,,,,,,,,,,"5,944",,
,,,,TOTALS,,1,,,"4,207",18,287,"1,874",,,
,,,,,,,,,,,,,,,
,,,,,29,0,,,"4,672",23,296,"2,327",,"14,209",
,,Legislative District 30,,,29,,,,,,,,"6,891","14,209",
,,,Maricopa,,,,,,,,,,"6,891",,
,,,,TOTALS,,0,,,"4,672",23,296,"2,327",,,
,,,,STATE TOTALS,"1,666",30,,,"134,652","1,196","5,241","120,118",,"470,698",
,,,,,,,,,,,,,"209,461",,
