063  LAUREL ,45 ,10732 ,32987 ,1552 ,909 ,74 ,12 ,8 ,1 ,0 ,22275 ,23998 ,46275
064  LAWRENCE ,18 ,6208 ,5433 ,535 ,269 ,10 ,4 ,0 ,0 ,0 ,6100 ,6357 ,12459
065  LEE ,10 ,1864 ,3169 ,131 ,71 ,7 ,2 ,2 ,1 ,0 ,2552 ,2695 ,5247
066  LESLIE ,17 ,985 ,7290 ,155 ,104 ,5 ,4 ,0 ,0 ,0 ,4110 ,4432 ,8543
067  LETCHER ,30 ,11361 ,4376 ,439 ,196 ,14 ,0 ,1 ,0 ,1 ,7742 ,8646 ,16388
068  LEWIS ,14 ,2377 ,7304 ,299 ,177 ,8 ,2 ,2 ,1 ,0 ,5029 ,5138 ,10170
069  LINCOLN ,17 ,8413 ,8414 ,806 ,309 ,25 ,4 ,3 ,0 ,0 ,8586 ,9388 ,17974
070  LIVINGSTON ,10 ,5004 ,2186 ,306 ,126 ,12 ,2 ,1 ,0 ,0 ,3733 ,3904 ,7637
071  LOGAN ,20 ,11090 ,5509 ,920 ,266 ,22 ,5 ,1 ,0 ,0 ,8156 ,9657 ,17813
072  LYON ,6 ,4143 ,1871 ,277 ,105 ,3 ,2 ,2 ,0 ,0 ,3119 ,3284 ,6403
073  MCCRACKEN ,54 ,29227 ,19788 ,2996 ,1583 ,128 ,33 ,9 ,6 ,1 ,24657 ,29113 ,53771
074  MCCREARY ,18 ,2889 ,7683 ,344 ,230 ,10 ,1 ,2 ,0 ,0 ,5420 ,5739 ,11159
075  MCLEAN ,8 ,4403 ,2208 ,283 ,84 ,6 ,2 ,0 ,1 ,1 ,3392 ,3596 ,6988
076  MADISON ,45 ,30300 ,26934 ,4094 ,2145 ,212 ,67 ,18 ,2 ,6 ,29801 ,33977 ,63778
077  MAGOFFIN ,14 ,6754 ,3079 ,74 ,87 ,4 ,1 ,0 ,0 ,1 ,4960 ,5040 ,10000
078  MARION ,17 ,9960 ,2674 ,357 ,145 ,13 ,0 ,0 ,0 ,0 ,6247 ,6902 ,13149
079  MARSHALL ,25 ,16048 ,7970 ,830 ,622 ,57 ,6 ,3 ,1 ,0 ,12284 ,13253 ,25537
080  MARTIN ,14 ,2159 ,5890 ,116 ,62 ,2 ,2 ,0 ,0 ,0 ,4033 ,4197 ,8231
081  MASON ,16 ,7782 ,4182 ,744 ,325 ,27 ,8 ,0 ,0 ,0 ,6111 ,6955 ,13068
082  MEADE ,19 ,10970 ,8464 ,1174 ,596 ,52 ,5 ,4 ,1 ,1 ,10233 ,11034 ,21267
083  MENIFEE ,6 ,3916 ,1120 ,221 ,97 ,7 ,2 ,0 ,0 ,0 ,2692 ,2671 ,5363
084  MERCER ,17 ,9610 ,6824 ,522 ,544 ,44 ,11 ,2 ,0 ,1 ,8399 ,9159 ,17558
085  METCALFE ,12 ,3928 ,3331 ,273 ,167 ,7 ,2 ,2 ,0 ,0 ,3736 ,3974 ,7710
086  MONROE ,12 ,1140 ,7141 ,206 ,82 ,3 ,1 ,0 ,0 ,1 ,4169 ,4405 ,8574
087  MONTGOMERY ,18 ,13090 ,6008 ,694 ,437 ,29 ,7 ,4 ,0 ,0 ,9597 ,10672 ,20269
088  MORGAN ,12 ,7620 ,1233 ,174 ,71 ,9 ,0 ,2 ,1 ,0 ,4482 ,4628 ,9110
089  MUHLENBERG ,25 ,15633 ,5748 ,948 ,286 ,29 ,5 ,1 ,1 ,1 ,10860 ,11792 ,22652
090  NELSON ,24 ,19049 ,11106 ,2272 ,624 ,67 ,10 ,2 ,0 ,4 ,15770 ,17364 ,33134
091  NICHOLAS ,5 ,4098 ,1043 ,222 ,71 ,5 ,1 ,0 ,0 ,0 ,2649 ,2790 ,5440
092  OHIO ,19 ,7789 ,8597 ,817 ,248 ,18 ,4 ,2 ,2 ,1 ,8441 ,9037 ,17478
093  OLDHAM ,38 ,16945 ,27979 ,3553 ,1803 ,214 ,23 ,6 ,2 ,1 ,24468 ,26055 ,50526
094  OWEN ,12 ,5105 ,2523 ,312 ,156 ,5 ,2 ,2 ,1 ,0 ,4009 ,4097 ,8106
095  OWSLEY ,8 ,955 ,2523 ,66 ,18 ,2 ,0 ,0 ,0 ,1 ,1744 ,1821 ,3565
096  PENDLETON ,12 ,5516 ,3977 ,584 ,248 ,27 ,3 ,5 ,0 ,1 ,5102 ,5259 ,10361
097  PERRY ,37 ,14690 ,5293 ,358 ,317 ,17 ,6 ,1 ,1 ,0 ,9962 ,10720 ,20683
098  PIKE ,57 ,33073 ,13444 ,1911 ,619 ,38 ,18 ,4 ,1 ,3 ,23938 ,25173 ,49111
099  POWELL ,11 ,6678 ,2695 ,330 ,115 ,13 ,3 ,1 ,0 ,0 ,4759 ,5076 ,9835
100  PULASKI ,56 ,11165 ,32744 ,2418 ,889 ,95 ,10 ,6 ,2 ,1 ,22397 ,24932 ,47330
101  ROBERTSON ,5 ,1319 ,343 ,51 ,18 ,3 ,1 ,0 ,0 ,0 ,888 ,847 ,1735
102  ROCKCASTLE ,15 ,2300 ,9434 ,382 ,245 ,9 ,6 ,0 ,2 ,1 ,5945 ,6434 ,12379
103  ROWAN ,18 ,9221 ,4514 ,626 ,421 ,36 ,10 ,0 ,1 ,2 ,6991 ,7837 ,14831
104  RUSSELL ,16 ,2936 ,10417 ,339 ,310 ,21 ,2 ,0 ,1 ,0 ,6725 ,7301 ,14026
105  SCOTT ,46 ,18477 ,17308 ,2049 ,1018 ,105 ,14 ,12 ,0 ,2 ,18748 ,20237 ,38985
106  SHELBY ,34 ,14929 ,14061 ,1585 ,977 ,79 ,23 ,3 ,3 ,1 ,14955 ,16706 ,31661
107  SIMPSON ,13 ,7980 ,4438 ,868 ,297 ,24 ,2 ,2 ,0 ,0 ,6358 ,7253 ,13611
108  SPENCER ,14 ,6443 ,6789 ,620 ,381 ,31 ,2 ,2 ,0 ,0 ,7101 ,7166 ,14268
109  TAYLOR ,20 ,7755 ,9418 ,646 ,324 ,20 ,7 ,2 ,1 ,0 ,8465 ,9707 ,18173
110  TODD ,13 ,5727 ,2228 ,319 ,91 ,16 ,3 ,0 ,0 ,0 ,3965 ,4419 ,8384
111  TRIGG ,15 ,6165 ,4688 ,456 ,341 ,27 ,3 ,1 ,0 ,0 ,5634 ,6046 ,11681
112  TRIMBLE ,12 ,5040 ,1746 ,316 ,87 ,8 ,3 ,0 ,0 ,0 ,3536 ,3664 ,7200
113  UNION ,16 ,7716 ,2052 ,389 ,87 ,11 ,1 ,1 ,0 ,0 ,4976 ,5281 ,10257
114  WARREN ,121 ,40520 ,33007 ,4362 ,2417 ,265 ,67 ,14 ,1 ,2 ,37260 ,43392 ,80655
115  WASHINGTON ,14 ,5218 ,3091 ,259 ,113 ,7 ,2 ,4 ,0 ,0 ,4147 ,4547 ,8694
116  WAYNE ,19 ,5118 ,8920 ,507 ,167 ,13 ,0 ,0 ,0 ,1 ,7141 ,7585 ,14726
117  WEBSTER ,14 ,6896 ,2273 ,358 ,112 ,14 ,1 ,1 ,0 ,0 ,4627 ,5028 ,9655
118  WHITLEY ,36 ,6213 ,19222 ,892 ,526 ,34 ,10 ,3 ,0 ,0 ,12970 ,13929 ,26900
119  WOLFE ,8 ,4765 ,660 ,149 ,43 ,3 ,2 ,0 ,0 ,0 ,2763 ,2859 ,5622
120  WOODFORD ,19 ,10905 ,7957 ,1018 ,612 ,64 ,5 ,0 ,0 ,0 ,9601 ,10960 ,20561
