,,,Republican Party,,,Democratic Party,,,Minor Parties,,,,Unaffiliated,,,Totals,,
Town,County,C D,Active,Inactive,Total,Active,Inactive,Total,Active,Inactive,Total,M Notes,Active,Inactive,Total,Active,Inactive,Totals
Norfolk,Litchfield,5,211,274,485,410,313,723,3,17,20,L,508,682,1190,1132,1286,2418
North Branford,New Haven,3,1758,58,1816,2092,57,2149,25,0,25,G IT L,4855,187,5042,8730,302,9032
North Canaan,Litchfield,5,466,0,466,453,0,453,10,0,10,G IT L WF,999,2,1001,1928,2,1930
North Haven,New Haven,3,3706,85,3791,3728,130,3858,25,1,26,G IT L,7739,342,8081,15198,558,15756
North Stonington,New London,2,1043,21,1064,905,29,934,13,0,13,G IT L,1642,57,1699,3603,107,3710
Norwalk,Fairfield,4,8536,1403,9939,14611,2476,17087,822,150,972,CFL G IT L RF WF,17758,4380,22138,41727,8409,50136
Norwich,New London,2,2719,110,2829,7605,252,7857,201,10,211,C G I IT L WF,9573,503,10076,20098,875,20973
Old Lyme,New London,2,1771,64,1835,1686,66,1752,25,0,25,G IT L,2448,128,2576,5930,258,6188
Old Saybrook,Middlesex,2,2392,118,2510,2088,122,2210,41,1,42,CFL G IT L,2868,193,3061,7389,434,7823
Orange,New Haven,3,2407,24,2431,2465,24,2489,26,1,27,G IT L,5193,52,5245,10091,101,10192
Oxford,New Haven,4,2616,62,2678,1491,58,1549,117,4,121,G IT L,4119,130,4249,8343,254,8597
Plainfield,Windham,2,1487,53,1540,3102,99,3201,88,4,92,G IT L,3910,202,4112,8587,358,8945
Plainville,Hartford,5,2025,40,2065,3826,54,3880,9,0,9,G L,4439,55,4494,10299,149,10448
Plymouth,Litchfield,5,1508,49,1557,1949,73,2022,30,2,32,C CFL G IT L,4106,247,4353,7593,371,7964
Pomfret,Windham,2,691,20,711,752,37,789,8,0,8,G IT L WF,1189,44,1233,2640,101,2741
Portland,Middlesex,1,1190,25,1215,2084,66,2150,10,1,11,C G IT L,2495,101,2596,5779,193,5972
Preston,New London,2,852,8,860,792,7,799,10,0,10,G IT L,1625,32,1657,3279,47,3326
Prospect,New Haven,3,1798,59,1857,1297,29,1326,25,0,25,G IT L WF,2896,121,3017,6016,209,6225
Putnam,Windham,2,903,33,936,1760,79,1839,57,3,60,G IT L WF,2306,135,2441,5026,250,5276
Redding,Fairfield,4,2198,52,2250,2007,33,2040,35,1,36,G IT L,2563,78,2641,6803,164,6967
