Report Date/Time: 08/22/2016 10:11 AM,,,,,STATE OF ARIZONA REGISTRATION REPORT,,,,,,Page Number 1,
,,,,,,"2016 Primary Election - August 30, 2016",,,,,,
,,,,,Compiled and Issued by the Arizona Secretary of State,,,,,,,
,,,,,ACTIVE,,,,,,,
,,Precincts,Date/Period,Democratic,,,Green,Libertarian,Republican,Other,TOTAL,
,,44,P.E. 2016,"25,340",,,43,467,"22,242","29,928","78,020",
,TOTALS:,"1,466",Mar-16,"952,527",,,"4,382","25,333","1,131,838","1,183,800","3,297,880",
,,"1,467",May-16,"990,417",,,"4,480","25,340","1,161,816","1,171,256","3,353,309",
,,"1,470",P.E. 2016,"1,019,050",,,"5,512","26,653","1,185,023","1,164,373","3,400,611",
,PERCENTAGES:,,Mar-16,28.88,,,0.13,0.77,34.32,35.9,,
,,,May-16,29.54,,,0.13,0.76,34.65,34.93,,
,,,P.E. 2016,29.97,,,0.16,0.78,34.85,34.24,,
Report Date/Time: 08/22/2016 10:11 AM,,,,,,STATE OF ARIZONA REGISTRATION REPORT,,,,,Page Number 2,
,,,,,,,"2016 Primary Election - August 30, 2016",,,,,
,,,,,,Compiled and Issued by the Arizona Secretary of State,,,,,,
,,,,,,ACTIVE,,,,,,
,Congressional,,,Precincts,Democratic,,Green,Libertarian,Republican,Other,TOTAL,
,,Congressional District 1,,,,,,,,,,
,,,Apache,45,"27,114",,42,145,"8,070","12,277","47,648",
,,,Coconino,71,"29,454",,231,722,"18,892","23,410","72,709",
,,,Gila,22,"5,833",,7,50,"2,667","3,287","11,844",
,,,Graham,22,"5,331",,9,61,"7,574","4,085","17,060",
,,,Greenlee,8,"2,007",,0,27,"1,264","1,242","4,540",
,,,Maricopa,3,499,,0,6,73,472,"1,050",
,,,Mohave,2,270,,0,3,119,365,757,
,,,Navajo,14,"24,336",,51,386,"19,814","17,164","61,751",
,,,Pima,26,"16,581",,68,376,"26,650","18,712","62,387",
,,,Pinal,60,"30,380",,104,593,"30,005","35,387","96,469",
,,,Yavapai,7,"5,101",,43,134,"6,401","6,833","18,512",
,,,TOTALS,280,"146,906",,555,"2,503","121,529","123,234","394,727",
,,Congressional District 2,,,,,,,,,,
,,,Cochise,49,"19,546",,129,471,"27,359","25,168","72,673",
,,,Pima,145,"113,151",,990,"2,463","105,351","96,156","318,111",
,,,TOTALS,194,"132,697",,"1,119","2,934","132,710","121,324","390,784",
,,Congressional District 3,,,,,,,,,,
