Report Date/Time: 01/12/2016 01:50 PM,,,,,STATE OF ARIZONA REGISTRATION REPORT,,,,,,Page Number 1
,,,,,"2016 January Voter Registration - January 1, 2016",,,,,,
,,,,,Compiled and Issued by the Arizona Secretary of State,,,,,,
,,,,,ACTIVE,,,,,,
,,Precincts,Date/Period,Americans ,,Democratic,Green,Libertarian,Republican,Other,TOTAL
,,39,Oct-15,1,,"1,519",7,42,"1,789","2,080","5,438"
,,39,Jan-16,*,,"1,484",7,42,"1,758","2,042","5,333"
,Graham,22,Jul-15,0,,614,3,16,940,771,"2,344"
,,22,Oct-15,0,,598,3,18,913,761,"2,293"
,,22,Jan-16,*,,615,4,17,946,799,"2,381"
,Greenlee,8,Jul-15,0,,100,0,2,60,92,254
,,8,Oct-15,0,,98,0,2,58,91,249
,,8,Jan-16,*,,96,0,2,55,91,244
,La Paz,11,Jul-15,0,,552,8,14,568,851,"1,993"
,,11,Oct-15,0,,538,8,13,552,836,"1,947"
,,11,Jan-16,*,,528,8,12,543,823,"1,914"
,Maricopa,724,Jul-15,33,,"63,109",723,"2,876","59,384","103,629","229,754"
,,724,Oct-15,32,,"63,354",701,"2,849","59,482","103,870","230,288"
,,724,Jan-16,*,,"83,251",774,"3,842","78,589","137,658","304,114"
,Mohave,73,Jul-15,1,,"4,266",23,121,"5,496","8,869","18,776"
,,24,Oct-15,1,,"4,603",25,130,"6,046","9,857","20,662"
,,24,Jan-16,*,,"4,609",25,126,"6,058","9,912","20,730"
,Navajo,61,Jul-15,0,,"3,051",12,71,"2,705","3,038","8,877"
,,61,Oct-15,0,,"2,981",12,70,"2,625","2,960","8,648"
,,14,Jan-16,*,,"2,981",12,70,"2,607","2,944","8,614"
,Pima,248,Jul-15,16,,"24,341",376,834,"18,470","30,589","74,626"
,,248,Oct-15,16,,"23,420",359,792,"17,769","29,846","72,202"
,,248,Jan-16,*,,"27,073",398,929,"20,939","34,959","84,298"
,Pinal,102,Jul-15,4,,"11,470",67,290,"9,748","18,059","39,638"
